Source,Target,Type,Weight
245920071,71864965,Undirected,3
245920071,174616480,Undirected,3
245920071,170321354,Undirected,3
174616480,83615933,Undirected,3
174616480,112965850,Undirected,3
174616480,102240858,Undirected,4
174616480,71864965,Undirected,3
174616480,245920071,Undirected,3
174616480,170321354,Undirected,3
174616480,323935422,Undirected,1
174616480,91377034,Undirected,1
174616480,155953935,Undirected,1
174616480,392374673,Undirected,1
174616480,126971369,Undirected,1
174616480,121897729,Undirected,1
174616480,86866708,Undirected,1
174616480,250513744,Undirected,1
174616480,77919721,Undirected,1
174616480,84271991,Undirected,2
174616480,184694630,Undirected,1
174616480,202554718,Undirected,1
174616480,122345704,Undirected,1
174616480,151137708,Undirected,1
174616480,172686926,Undirected,1
174616480,439286970,Undirected,1
174616480,186373147,Undirected,1
174616480,360801866,Undirected,1
174616480,24566513,Undirected,1
174616480,64737681,Undirected,1
174616480,451651840,Undirected,3
174616480,362347435,Undirected,1
174616480,420088832,Undirected,2
174616480,86777066,Undirected,2
174616480,132403217,Undirected,2
174616480,130680095,Undirected,2
174616480,145535422,Undirected,2
174616480,138000827,Undirected,2
174616480,280534762,Undirected,2
174616480,133328344,Undirected,1
174616480,107166211,Undirected,1
174616480,41390269,Undirected,1
174616480,75497850,Undirected,1
174616480,87090373,Undirected,1
174616480,51904833,Undirected,1
174616480,109041146,Undirected,1
174616480,424819520,Undirected,1
174616480,20703895,Undirected,1
174616480,413629200,Undirected,1
174616480,503114,Undirected,1
174616480,122872260,Undirected,1
174616480,158626280,Undirected,1
174616480,106845161,Undirected,1
174616480,88583490,Undirected,1
174616480,204911094,Undirected,1
174616480,155312525,Undirected,1
174616480,409246862,Undirected,1
174616480,265629228,Undirected,1
174616480,102309164,Undirected,2
174616480,411030166,Undirected,2
174616480,126476835,Undirected,2
174616480,128358244,Undirected,1
174616480,371068597,Undirected,1
174616480,27700822,Undirected,1
174616480,150249606,Undirected,1
174616480,238089318,Undirected,1
174616480,170622218,Undirected,1
174616480,240220353,Undirected,2
174616480,30780245,Undirected,1
174616480,202083545,Undirected,1
174616480,158381939,Undirected,1
174616480,73327208,Undirected,1
174616480,313707010,Undirected,1
174616480,375434618,Undirected,1
174616480,244273649,Undirected,1
174616480,291614382,Undirected,1
174616480,255006615,Undirected,1
