Id,mmr
94474400,4066
385615,4518
207993348,4445
123492036,4610
221937013,4108
166355245,4126
85889611,0
344924878,0
184635831,3034
130863357,3544
75737483,3647
83073243,3611
390119158,0
86717235,3595
168034944,4204
173721324,3061
67799683,3605
177820052,3593
51376689,0
360561179,3166
359339771,3103
317394717,4401
168751115,2284
112967053,3006
209095250,2556
113223272,4292
430315896,3108
372691377,1706
178458413,3441
325584440,0
98217496,3351
481346897,0
172501208,3001
220641069,3013
153454807,2849
266997440,4464
152573663,4311
312113975,3922
379781927,4377
202833786,3728
177285244,3013
170791164,3493
73502387,3444
115149170,2810
86852490,0
103325680,3729
202607452,4430
245719356,4755
215216805,3686
207941547,3622
80621323,3710
117919654,4026
164792522,3734
120557708,3794
164615123,3768
374509346,3616
14871188,4152
9395175,4095
141858537,3788
115052923,3933
142782479,0
121927052,2829
53535059,2922
33058120,0
416735586,0
195121552,3162
319416962,0
200587191,0
300766746,0
175116953,3684
180723595,2304
430093447,0
238388806,3198
184666020,0
152828989,2765
311158920,1983
235716003,2946
450705249,0
481618377,0
144807579,2602
357688679,0
130137008,2890
199101286,0
118565355,0
332829293,0
156718166,2685
374367500,2987
280941396,3075
147636105,3263
86964083,3478
125718405,3019
107918950,0
398227905,3177
194376297,2850
129380622,2858
297256090,2828
452617466,3257
324301852,2776
92433685,0
49657277,0
433103676,2793
160234591,3130
244561024,0
131157166,3179
315263902,0
231555190,3138
127684053,0
340325259,0
128321094,2184
146343609,3418
288958574,2860
55253046,3013
451521993,0
208936238,0
183937968,3030
118114881,4326
202573212,3745
21172473,2227
145227871,2704
55585962,0
10453423,0
111680525,0
171461569,0
164505555,2879
366276167,3078
143491540,2868
104371434,3673
1135950,0
87111150,2936
205825277,2980
462288497,2760
97658031,2889
208197668,3016
154064012,3043
170102324,3006
189222751,0
416408019,2980
331858299,3044
244793133,2976
402668737,3008
361360792,2779
203613963,3017
137733445,0
193717484,0
207400712,0
399973028,3146
100597724,0
438071088,0
400620196,4130
334187906,3920
146783194,3568
74778309,4434
94200817,3844
117122247,0
133656712,0
79973062,0
202332755,3597
63252974,0
156769457,0
143139877,0
144358837,0
215068827,0
129173430,0
152061008,0
207654751,3514
156639351,4148
121959246,5074
171449403,0
141082608,0
215669861,0
125450300,0
75408013,3180
100293604,4467
210526191,0
439351291,0
285516440,3435
155816182,3269
280871938,3386
167657542,0
68823039,4147
86819307,3248
124834735,0
86963644,0
83308501,0
338962926,3181
161026830,4473
310688549,0
15392295,0
201917826,0
215212793,3204
30310775,0
95890126,4188
60350067,3647
330990420,0
388129601,0
474106539,0
476667781,0
132130950,3293
101980276,4269
350463799,2245
107206302,0
119508710,3532
221591223,2913
331922233,0
371318399,0
215109609,3106
356130520,3179
69008326,4095
83945879,3034
107811392,3081
156730001,0
109211417,0
403433225,2959
58697269,2989
74303909,3286
120122812,0
314884776,3123
157870141,0
396558922,3061
375689038,3008
94297925,3017
134880380,3285
121766420,2126
311254510,3026
176600947,2356
145643510,3004
320753327,3196
92089105,3184
110268045,0
106135913,0
116068310,0
122842411,3438
110366426,2774
147533982,2480
149621318,0
249695400,0
382720131,3319
160321077,2629
267956068,2932
117255188,0
83558581,0
164614562,3139
134343904,0
128240221,0
185603853,0
361237369,3365
61572210,2872
201608474,3445
159233203,3592
101979444,2871
156663247,3422
340782598,3095
186495838,3135
89710117,0
127567073,0
118737464,0
171396806,0
201995733,3052
303026855,0
130462751,0
191986205,3002
265831952,2959
147678065,3496
154088750,3100
237616445,2564
50591171,0
193003065,3090
360885044,2792
118281596,0
241812659,2807
325760680,0
77313098,0
33680831,2935
135663763,3029
396403140,3196
97757801,2996
114705660,3596
45315071,2936
225940841,3023
30952203,3509
194984892,2875
111121875,0
433845986,0
64094321,3094
105716445,2716
375958700,0
120675481,0
80545040,0
442800777,3268
336199636,3165
192367411,2975
65204222,3216
103719042,2837
38012803,2939
169633897,3002
368022094,0
409666391,0
87050220,2879
369151815,2602
48944951,3015
351834657,2794
29029673,0
235354738,0
143644794,3063
111057325,2750
126952584,2949
130064637,0
49455449,0
173799670,3121
233445967,3149
172995719,2934
312497428,3892
281956668,2879
101651927,0
140059088,3279
238265621,2767
149209459,3102
149301312,2975
130522056,0
91486971,3017
248206475,3705
146797892,3128
127170128,3124
117957144,3389
177718343,2887
126837230,0
130285195,3448
139869213,3009
123077479,0
64820139,0
424386319,3064
175224142,2963
195643732,0
241689131,3188
286871888,3292
323334607,3359
147585827,2487
234330895,3641
362018619,0
172503689,0
110707799,0
386502770,0
82161266,3527
134120063,3301
183844474,3165
69685496,0
117559786,0
126043493,2466
110863280,0
109318428,0
382228993,3217
58476817,0
135558051,0
38843173,0
294269034,3138
241687855,3336
190328493,3314
126325176,3134
202899605,3482
317367406,3482
116367161,3821
413972387,3733
246134823,3364
358040391,3495
237936749,3699
125020633,0
245947509,0
129001666,3306
211077783,3410
175362450,3771
7993687,0
76431409,0
2982399,3109
106478192,3381
306460763,2913
126548855,0
122662585,3269
409927869,3099
110656392,0
230197506,2831
82054580,3903
325695131,3114
128012662,3421
364885560,3359
253231463,0
340206126,4100
154262238,3020
152844864,2881
164318635,2895
397677180,0
88086020,2938
46884802,2686
141850066,3000
275586126,0
150656456,2896
214637085,3166
126400201,3286
150887772,3733
123054871,0
211640042,3010
89038173,2659
176048754,3189
121976932,2883
342859413,3128
413488793,3095
460286143,3495
11705369,0
443009199,2928
405089148,0
103696850,2303
124371606,3201
59711236,0
57920783,0
116906634,0
168358938,2938
199641150,2991
347572301,2975
250002285,3192
281195420,2892
298020210,2844
448852753,2943
86208622,0
3767857,0
98855306,0
154055702,3401
174875662,3330
390221525,3044
411817531,3226
153285455,2953
407715414,3207
155983729,0
316493146,3007
172754369,0
188008498,0
